Software,Number
matlab,81
r,65
spss,63
excel,48
python,44
nvivo,26
stata,24
imagej,16
mathematica,16
endnote,13
origin,12
graphpad prism,11
labview,11
c++,9
latex,9
fortran,8
prism,8
sage,8
bash,7
c,7
idl,7
minitab,7
access,5
castep,5
mlwin,5
root,5
sigmaplot,5
amos,4
arcgis,4
gaussian,4
igor pro,4
java,4
matplotlib,4
numpy,4
perl,4
photoshop,4
pymol,4
qualtrics,4
sas,4
scipy,4
word,4
abaqus,3
blast,3
comsol,3
coot,3
galaxy,3
gimp,3
image j,3
maple,3
mendeley,3
paraview,3
plink,3
powerpoint,3
samtools,3
shell scripts,3
solidworks,3
vasp,3
visual studio,3
volocity,3
ansys,2
ape,2
astexviewer,2
atlas.ti,2
bristol online survey,2
capture molecules,2
ccp4,2
ccp4 suite,2
chemdraw,2
collatex,2
crystalclear,2
crystaltrak,2
cst microwave studio,2
cuda,2
dl_poly,2
dotmatics,2
eclipse,2
editseq,2
edna,2
eprime,2
eqs,2
excel.,2
ferret,2
fsl,2
gatk,2
gda,2
geant4,2
genie,2
genstat,2
gentle,2
global phasing,2
gnuplot,2
graphpad,2
haploview,2
ibm spss,2
illustrator,2
javascript,2
lammps,2
libreoffice-calc,2
linux,2
livecode,2
ls-dyna,2
magma,2
mestrenova,2
microsoft office,2
mogul,2
molpro,2
mpi,2
mplus,2
ncbi,2
ndipv4,2
nwchem,2
octave,2
omero,2
openfoam,2
originpro,2
praat,2
psychopy,2
qgis,2
qsr nvivo,2
qtiplot,2
quantumgis,2
raxml,2
revman,2
rstudio,2
sam tools,2
serial cloner,2
spm,2
stardrop,2
traymaker,2
visual basic,2
zotero,2
4peaks,1
abi prism 7700,1
abinit,1
acd labs,1
acrobat,1
adol-c,1
agilen ads,1
aim2000,1
aimaii,1
alberta-fem,1
altium,1
amber,1
ambertools,1
anastasia,1
answer,1
ansys apdl,1
antconc,1
arc-gis,1
arcmap,1
arduino ide,1
artemis,1
arwen,1
ascent,1
asp.net,1
assimptote,1
athena,1
atk,1
audacity,1
auto,1
avid protools,1
awk,1
awr microwave office,1
bandsolve,1
banxia,1
baps,1
basism,1
beast,1
bento,1
biggs iceberg model,1
bioconductor,1
biodare,1
bioedit,1
biome4,1
birmingham cluster genetic algorithm,1
bloomberg,1
bowtie,1
bristol online surveys,1
c#,1
camba,1
cambridge crystallographic data centre programs,1
camcasp,1
canvas,1
cape-open flowsheeting environment,1
cardiff teleform,1
caris,1
carsim,1
cbmc,1
ccpn,1
cdo,1
cesm,1
cfx,1
chembiodraw,1
chemdraw ultra,1
chorus analytics,1
clan,1
clang,1
clc bio genomics workbench,1
clc main,1
clewin,1
clustal,1
cluster 3,1
cmap,1
code composer studio,1
collate,1
comsol multiphysics,1
conquest,1
copasi,1
cosa,1
cp2k,1
cplex,1
crafty,1
creo,1
cryomeas,1
crystaloptimizer,1
crystalpredictor,1
css,1
cst,1
cubempi,1
d-vams project portal,1
datadesk,1
datastream,1
david,1
dcmtk,1
dco,1
dedoose,1
dendroscope,1
diamond light source control software,1
diprobase,1
discovery studio visualizer,1
dmacrys,1
dnastar lasergene,1
doflin-adjoint,1
e-prime,1
egret,1
elan,1
emacs,1
emim,1
end note,1
enthought canopy,1
envi-met,1
enzymex,1
etc,1
evernote,1
expasy,1
facs diva,1
factiva,1
fast-lmm,1
fasta,1
fasttree,1
fbat,1
feedly,1
fenics,1
fiji,1
filemaker pro,1
filezilla,1
finalcut pro,1
firedrake,1
fledermaus,1
flex,1
flir thermal imaging,1
flow jo,1
flowjo,1
fortran 77-90,1
fortran 95,1
fraclac,1
freesurfer,1
fullwave,1
gams,1
gams java,1
garand,1
gcc,1
gdal,1
gdc,1
gdma,1
geany,1
genespring,1
gensat,1
geochem,1
geov,1
gephi,1
ggi_tlm,1
ginac,1
github.,1
globalmapper,1
gmin,1
gmt,1
gnss processing,1
go,1
goldvarb,1
google search engine,1
googleearth,1
gpaw,1
gpde,1
grace,1
grads,1
grams,1
graphviz,1
gromacs,1
guassian,1
gulp,1
gummi,1
heidelberg mctdh,1
higher education commision pk,1
honeywell,1
horace,1
html,1
hudap,1
hydra,1
hypermesh,1
hypre,1
ibm statistics analysis,1
ies-ve,1
igor,1
igv,1
igv genome browser,1
illumina genomestudio,1
image pro plus,1
impute,1
in cell investigator,1
insite,1
integrated genome browser,1
intel,1
ipa,1
ipython,1
irap-rms,1
irfanview,1
java tree view,1
jenkins,1
justbio,1
kaleida graph,1
kaleidograph,1
kingdom,1
kingdom suite,1
l-edit,1
lamp stack,1
lasergene,1
layoutbeamer,1
lc,1
leica af,1
leica lite,1
libatoms,1
licor software,1
linux code,1
lisp,1
lucence,1
macosx,1
mantid,1
mapinfo,1
maplesoft,1
mapqtl,1
marvin,1
materials studio,1
mathcad,1
mathlab,1
mathworks,1
matplotlip,1
maus,1
max,1
maxchelator,1
maxqda,1
mayavi,1
mcm mapper,1
mctdh,1
medcalc,1
meep,1
mega,1
meme,1
mendel,1
mendely,1
mercury,1
merlin,1
mesquite.,1
metamorph,1
mgopt,1
minuit,1
mistress,1
molpak,1
mongodb,1
more4abm,1
mpb,1
mrbayes,1
msc-adams,1
msp,1
multinomial logit choice modelling software (actual software yet to be determined),1
multiple,1
multisim,1
muscle,1
music,1
mysql,1
national instruments labview,1
nco,1
nemrodw,1
netcdf,1
neut,1
newbler,1
ngene,1
nifti,1
nodexl,1
nonmem,1
nquery,1
nu plasma mc-icp-ms,1
nusmv,1
objectpascal,1
ocaml,1
office,1
onetep,1
open exchange,1
opencossan,1
openmpi,1
openrefine,1
opensesame,1
opensim,1
opentidalfarm,1
opus,1
originlab,1
osirix,1
outlook,1
oxmetrics,1
oxygen,1
packmol,1
pacs systems,1
pandas,1
pandoc,1
panoply,1
papers3,1
pari,1
parma,1
passage,1
past hammer,1
pasw,1
path-o-gen,1
pcr,1
pele,1
penelope,1
perl express,1
petrel,1
petromod,1
petsci,1
pgi,1
phenix,1
physica,1
plato,1
plink-seq,1
plot digitizer,1
postgresql,1
powpoit,1
premim,1
presentation,1
primer3,1
processing,1
promax,1
mg,1
psyscope,1
pyroot,1
qiqqa,1
quantum geographic information system (qgis),1
quantumespresso,1
qub,1
quip,1
r-studio,1
r.clymo@qmul.ac.uk,1
raspa,1
rdf3x,1
recpack,1
refman,1
repast simphony,1
rest2009,1
rmcprofile,1
rokdoc,1
rotorgene 6,1
ruby,1
sam,1
sansview,1
sap2011,1
sas institute jmp,1
sbsi,1
scikit-learn,1
scripts,1
sed,1
seisworks,1
self-written code in c++,1
sente,1
seqmonk,1
shapeit,1
shell,1
simcap,1
simpack,1
simple pci,1
simulink,1
smalt,1
snap,1
snopt,1
snptest,1
soapdenovo,1
sometimes sas or r,1
spectral mhd codes.,1
spectrum v5.3.1 (ftir),1
spike2,1
splus,1
spm8,1
spss nvivo,1
sqlserver,1
ssps,1
stan,1
stand visualisation system,1
stanfordnlp,1
stars,1
stat-jr,1
statechum,1
statgraphs,1
stattransfer,1
structure,1
supercollider,1
survey monkey,1
syngene genetools,1
syntactic structures of the worlds languages,1
tao,1
tapenade,1
tecplot,1
testexpert 2,1
tex,1
texgen,1
texniccenter,1
text processing software,1
the kingdom software,1
thermo fisher,1
thesaurus linguae graecae,1
tilia,1
tinnr,1
tnt,1
trilinos,1
trinity,1
tweetdeck,1
ucsf chimera,1
uk met office unified model,1
unphased,1
unscrambler,1
varbrule,1
vba,1
veda,1
velvet,1
velvet/oases,1
vensim,1
virtual manuscript room,1
visual doc,1
vmd,1
vmware fusion,1
webmo,1
weka,1
western blot reader software,1
winbug,1
winbugs,1
wingx,1
winlist,1
wolfram mathematica,1
wordpress,1
words,1
workspace for collaborative editing,1
world atlas of language structures,1
xcode,1
xd2006,1
xfdtd,1
xl,1
xlstat,1
xmgrace,1
