,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
0,8/20/2014 15:33:45,ucl,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"VEDA-FE,VEDA-BE,ANSWER,GAMS,Excel",Postdoctoral researcher,Male,Fixed term,Linux,True
1,8/20/2014 15:46:23,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers, teach/admin,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Excel, R, Image J, IrfanView, Bowtie, Integrated Genome Browser, Java Tree View, SAM Tools, Cluster 3,  DiProBase, UCSF Chimera, MEME, custom Perl/Shell/Python scripts",Lecturer,Male,Permanent,Linux,True
2,8/20/2014 15:47:48,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,Atlas.ti,,Female,Permanent,Microsoft Windows,True
3,8/20/2014 16:05:30,university of newcastle,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,R,Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
4,8/20/2014 19:01:08,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,No,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,,Professor,Male,Fixed term,DOS or ZX Spectrum,False
5,8/21/2014 10:14:10,university of cambridge,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"libAtoms/QUIP , CASTEP , molpro",PhD student,Male,Prefer not to say,Mac OS X,True
6,8/21/2014 10:16:32,university of cambridge,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"Materials Studio, and home-made software: Music and Raspa, for GCMC simulations",Postdoctoral researcher,Male,Fixed term,I prefer Windows and Unix,True
7,8/21/2014 10:19:28,university of edinburgh,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Mainly online resources for the analysis of DNA/RNA sequences, protein structural analysis, search engines, RNA folding predictions, statistic packages etc",Professor,Female,Permanent,Don't have a preference,True
8,8/21/2014 10:20:14,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"HyperMesh, LS Dyna, MS based",Researcher,Male,Fixed term,Microsoft Windows,True
9,8/21/2014 10:22:31,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,Mathematica,xmgrace",Research Fellow,Male,Fixed term,Mac OS X,True
10,8/21/2014 10:26:28,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"GraphPad Prism, Serial Cloner, Mathematica",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
11,8/21/2014 10:35:31,university of newcastle,I conduct research, I support researchers, I manage researchers or research projects, design research,,Engineering & technology,don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,"MS Words, MS Excel, MS Power Point, MS Outlook, Google search engine, Adobe acrobat, SPSS, Mendeley,  ",Postdoctoral researcher,Male,Permanent,Microsoft Windows,True
12,8/21/2014 10:35:52,university of cambridge,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"LabView, Matlab, Origin, CryoMeas (my own software)",Professor,Male,Permanent,Microsoft Windows,True
13,8/21/2014 10:42:05,university of cardiff,I conduct research, I develop software for researchers,,,,"Medicine, dentistry & health",don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Illumina GenomeStudio,PLINK,R,IMPUTE2",Database Manager,Male,Fixed term,Don't have a preference,True
14,8/21/2014 10:42:19,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,11-15 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Male,Permanent,Mac OS X,False
15,8/21/2014 10:54:24,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"R, Galaxy, Plink, Plink-Seq, IGV, Sam tools, GATK, Haploview",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
16,8/21/2014 10:56:48,university of cardiff,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Nvivo, SPSS",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
17,8/21/2014 10:57:38,university of newcastle,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Stata, StatTransfer, sometimes SAS or R",Lecturer,Male,Permanent,Mac OS X,True
18,8/21/2014 11:14:46,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Mathematica, R,,",Professor,Male,Permanent,Mac OS X,True
19,8/21/2014 13:25:15,ucl,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"DMACRYS, CrystalPredictor, CrystalOptimizer, GAUSSIAN, MOLPAK, GDMA, Cambridge Crystallographic Data Centre programs, CASTEP, CamCASP, GULP, Marvin",Professor,Female,Permanent,Linux,True
20,8/21/2014 13:40:40,university of edinburgh,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,don't know,More than 20 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,Reader,Male,Permanent,Microsoft Windows,False
21,8/21/2014 13:48:35,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,"SPSS, R, LabView",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
22,8/21/2014 14:02:03,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Matlab,Plastimatch,Many others",PhD student,Male,Fixed term,Linux,True
23,8/21/2014 14:08:36,ucl,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Python, Python ""scientific stack"", GDAL, Shell scripts, Fortran, C",Postdoctoral researcher,Male,Fixed term,Linux,True
24,8/21/2014 14:13:43,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Igor Pro, Labview",PhD student,Male,Fixed term,Mac OS X,True
25,8/21/2014 14:35:48,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Genstat, RStudio, Minitab, MatLab, GIMP, Zotero, Endnote, SAP2011, FileZilla, GNUPlot, QtiPlot, SPSS, Spike2",Lecturer,Male,Permanent,Microsoft Windows,True
26,8/21/2014 15:15:36,ucl,I conduct research,,,,,Social studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"Stata,R",Lecturer,Male,Permanent,Microsoft Windows,True
27,8/21/2014 16:21:28,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","matlab, python, graphlab,",Lecturer,Male,Permanent,Mac OS X,True
28,8/21/2014 17:42:15,university of cambridge,I conduct research,,,,,Administrative & business studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"Bloomberg, Datastream, Factiva",Lecturer,Male,Permanent,Microsoft Windows,True
29,8/21/2014 17:58:22,university of cambridge,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"FlowJo, EnzymeX, Primer3, ApE, BLAST, ImageJ.",PhD student,Male,Fixed term,Mac OS X,True
30,8/22/2014 0:00:40,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"MPlus,Superlab ,SPSS,Excel",Postdoctoral researcher,Male,Fixed term,Mac OS X,True
31,8/22/2014 10:12:31,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS,NVivo",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
32,8/22/2014 10:16:12,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"GraphPad Prism, Adobe Illustrator, WinList, Rotorgene 6, Microsoft Excel, ApE, FACS Diva, Adobe Photoshop, Rest2009",Postdoctoral researcher,Female,Permanent,Microsoft Windows,True
33,8/22/2014 10:17:05,university of edinburgh,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"R, locally designed video coding software, CLAN, ELAN",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
34,8/22/2014 10:17:57,university of cambridge,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"r, spss, xl, SPM, matlab",Lecturer,Female,Fixed term,Microsoft Windows,True
35,8/22/2014 10:18:00,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab, IDL, LabView",Professor,Male,Permanent,Microsoft Windows,True
36,8/22/2014 10:31:38,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Graphpad Prism, Genespring, Photoshop, Endnote, ",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
37,8/22/2014 10:49:11,university of cambridge,I conduct research, IT and medical physics,,,,"Medicine, dentistry & health",university central funds,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"ImageJ, Osirix (including plugins), various PACS systems, custom code in MATLAB",Lecturer,Male,Fixed term,Mac OS X,True
38,8/22/2014 10:49:26,university of cambridge,I conduct research,,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Matlab, Python, Ocaml, shell scripts",PhD student,Male,Fixed term,Linux,True
39,8/22/2014 10:58:52,university of cardiff,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Antconc, excel, r, Bristol online survey",Lecturer,Female,Permanent,Mac OS X,True
40,8/22/2014 11:04:27,university of cambridge,I conduct research,,,,,Engineering & technology,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Tecplot, Paraview, Ansys,,Write codes in Fortran and Matlab,,",PhD student,Male,Fixed term,Microsoft Windows,True
41,8/22/2014 11:16:09,university of newcastle,I support researchers,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"GNSS processing,Image Analysis,LIDAR,IR,Thermal",Technician,Male,Permanent,Don't have a preference,True
42,8/22/2014 12:15:47,university of cambridge,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - self taught using online resources or books, No",No,"CCP4, Phenix, Diamond Light Source control software, COOT, PyMol, Prism",Principal Investigator,Female,Fixed term,Microsoft Windows,True
43,8/22/2014 12:24:39,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",wellcome trust,Less than a year,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,I'm not involved in bid writing,"BEAST, BAPS, RAxML, FastTree, BLAST, Artemis, Dendroscope, Path-O-Gen, R, Velvet, SMALT, SAMtools, MUSCLE",Postdoctoral researcher,Female,Fixed term,Don't have a preference,True
44,8/22/2014 12:39:57,university of newcastle,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",esrc - economic and social research council,11-15 years,Yes,It would make no significant difference to my work,No,No,No,"NVivo, Cmap",Lecturer,Male,Fixed term,Mac OS X,True
45,8/22/2014 13:01:29,university of edinburgh,I support researchers,,,,,Education,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"NVivo, SPSS, SNAP",Research Administrator,Female,Fixed term,Microsoft Windows,True
46,8/22/2014 13:02:57,university of edinburgh,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"matlab, omero, imageJ, prism",group leader,Female,Fixed term,Mac OS X,True
47,8/22/2014 13:22:19,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"ONETEP, CASTEP",Research Fellow,Male,Permanent,Linux,True
48,8/22/2014 13:30:56,university of newcastle,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Matlab, SPSS, Excel",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
49,8/22/2014 13:32:56,university of edinburgh,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SAS, Excel, NQuery, Minitab",Reader,Female,Permanent,Microsoft Windows,True
