,Question 11: all data 1,percentage
matlab,89,7.0
r,71,6.0
spss,67,5.0
microsoft excel,57,4.0
python,47,4.0
nvivo,29,2.0
stata,24,2.0
imagej,21,2.0
origin,17,1.0
mathematica,16,1.0
labview,16,1.0
fortran,13,1.0
endnote,11,1.0
graphpad prism,10,1.0
latex,9,1.0
minitab,9,1.0
prism,9,1.0
c++,8,1.0
bash,7,1.0
c,7,1.0
mendeley,7,1.0
idl,7,1.0
perl,7,1.0
microsoft word,6,0.0
gaussian,6,0.0
root,5,0.0
sas,5,0.0
castep,5,0.0
sigmaplot,5,0.0
arcgis,5,0.0
microsoft office,5,0.0
visual studio,5,0.0
mestrenova,5,0.0
samtools,5,0.0
sage,5,0.0
abaqus,4,0.0
maple,4,0.0
igor pro,4,0.0
blast,4,0.0
plink,4,0.0
mlwin,4,0.0
qualtrics,4,0.0
flowjo,3,0.0
paraview,3,0.0
vasp,3,0.0
psychopy,3,0.0
access,3,0.0
revman,3,0.0
genie,3,0.0
solidworks,3,0.0
comsol,3,0.0
octave,3,0.0
presentation,3,0.0
volocity,3,0.0
amos,3,0.0
pymol,3,0.0
bristol online survey,3,0.0
galaxy,3,0.0
microsoft powerpoint,3,0.0
gams,3,0.0
ape,3,0.0
java,3,0.0
gnuplot,2,0.0
javascript,2,0.0
graphpad,2,0.0
zotero,2,0.0
ccp4,2,0.0
dl_poly,2,0.0
sketchup,2,0.0
matplotlib,2,0.0
gimp,2,0.0
clc bio genomics workbench,2,0.0
kingdom,2,0.0
genstat,2,0.0
openfoam,2,0.0
raxml,2,0.0
mpi,2,0.0
gatk,2,0.0
xmgrace,2,0.0
spm,2,0.0
photoshop,2,0.0
vensim,2,0.0
cytoscape,2,0.0
eclipse,2,0.0
winbugs,2,0.0
cst microwave studio,2,0.0
lasergene,2,0.0
gcc,2,0.0
nwchem,2,0.0
vectornti,2,0.0
quantumgis,2,0.0
gentle,2,0.0
magma,2,0.0
meep,2,0.0
lammps,2,0.0
qtiplot,2,0.0
microsoft access,2,0.0
st,2,0.0
genepattern,2,0.0
eprime,2,0.0
p,2,0.0
rstudio,2,0.0
haploview,2,0.0
answer,2,0.0
cplex,2,0.0
omero,2,0.0
molpro,2,0.0
mplus,2,0.0
geant4,2,0.0
ndipv4,2,0.0
primer,2,0.0
collatex,2,0.0
originpro,2,0.0
